;nom;joueurs;age;duree_minutes;image_url
215;Valeria Le Royaume;1 — 5;13+;30 — 45;https://www.myludo.fr/img/jeux/1707045590/300/bt/45956.png
216;Simple & Funky;2 — 4;8+;20;https://www.myludo.fr/img/jeux/1643709164/300/cb/53282.png
217;Qu'Est-Ce Tu Veux Qu'J'Te Dise ?;2 — 12;14+;30;https://www.myludo.fr/img/jeux/1634298924/300/bz/51729.png
218;Fragments;2 — 6;10+;45;https://www.myludo.fr/img/jeux/1663251381/300/ca/52566.png
219;Ricochet;1+;14+;30;https://www.myludo.fr/img/jeux/1709935631/300/bn/39759.png
220;Conquêtes;1 — 4;7+;20 — 40;https://www.myludo.fr/img/jeux/1664918426/300/cb/53008.png
221;Le Roi Est Mort;2 — 4;14+;30 — 60;https://www.myludo.fr/img/jeux/1754252611/300/by/50956.png
222;Le Roi Des 12;2 — 4;10+;15;https://www.myludo.fr/img/jeux/1713375845/300/bw/48572.png
223;Roméo & Juliette;Duo;14+;30;https://www.myludo.fr/img/jeux/1689669898/300/bl/37371.png
224;Nouvelles ContRées;2 — 6;10+;30 — 60;https://www.myludo.fr/img/jeux/1756389822/300/bz/51930.png
225;7 Wonders Architects;2 — 7;8+;25;https://www.myludo.fr/img/jeux/1753051716/300/bz/51868.png
226;Cerebria;1 — 4;14+;60 — 120;https://www.myludo.fr/img/jeux/1725618735/300/bq/42899.png
227;Khôra;2 — 4;14+;75;https://www.myludo.fr/img/jeux/1754465969/300/bl/37696.png
228;Tranquillité;1 — 5;8+;30;https://www.myludo.fr/img/jeux/1741790004/300/by/50995.png
229;Périple;2 — 4;8+;30 — 45;https://www.myludo.fr/img/jeux/1667158547/300/bu/46456.png
230;Near And Far;2 — 4;13+;90;https://www.myludo.fr/img/jeux/1740427062/300/bq/42512.png
231;Longueur D'Onde;2 — 10;14+;30 — 60;https://www.myludo.fr/img/jeux/1639070935/300/bu/46020.png
232;Wormlord;2 — 8;6+;5 — 10;https://www.myludo.fr/img/jeux/1720604496/300/bi/34419.png
233;What'S Missing ?;3 — 6;7+;20;https://www.myludo.fr/img/jeux/1729454309/300/bl/37428.png
234;Vicomtes Du Royaume De L'Ouest;1 — 4;12+;90 — 120;https://www.myludo.fr/img/jeux/1735059178/300/bl/37699.png
235;Twin It! - Jeux De Société;2 — 6;6+;30;https://www.myludo.fr/img/jeux/1728029741/300/bd/29306.png
236;Twin It! Japan;2 — 6;6+;15;https://www.myludo.fr/img/jeux/1640789650/300/bv/47522.png
237;Margraves De Valeria;2 — 5;13+;60 — 120;https://www.myludo.fr/img/jeux/1725785677/300/bo/40518.png
238;The Crew - Mission Sous-Marine;3 — 5;10+;20;https://www.myludo.fr/img/jeux/1733805534/300/bv/47581.png
239;OléMains !;4 — 16;14+;20;https://www.myludo.fr/img/jeux/1735208760/300/by/50523.png
240;So Clover!;3 — 6;10+;30;https://www.myludo.fr/img/jeux/1742157756/300/bv/47856.png
241;L'Île Des Chats - Derniers Arrivants;1 — 6;8+;60 — 90;https://www.myludo.fr/img/jeux/1724571328/300/bn/39208.png
242;Cartaventura - Vinland;1 — 6;10+;60;https://www.myludo.fr/img/jeux/1753047505/300/bu/46261.png
243;Crime Zoom - Un Écrivain Mortel;1 — 6;14+;60;https://www.myludo.fr/img/jeux/1653031660/300/br/43840.png
244;Pictures;3 — 5;8+;30;https://www.myludo.fr/img/jeux/1702653899/300/br/43626.png
245;5-Minute Dungeon;2 — 5;8+;30;https://www.myludo.fr/img/jeux/1761683589/300/bk/36929.png
246;1943;4 — 8;16+;20 — 30;https://www.myludo.fr/img/jeux/1623500998/300/bt/45891.png
247;Dune;2 — 6;14+;120 — 180;https://www.myludo.fr/img/jeux/1605873805/300/bi/34123.png
248;Paranormal Detectives;2 — 6;12+;30;https://www.myludo.fr/img/jeux/1735197156/300/bh/33097.png
249;Trek 12;1+;8+;30;https://www.myludo.fr/img/jeux/1759626841/300/bp/41776.png
250;Shamans;3 — 5;10+;30 — 60;https://www.myludo.fr/img/jeux/1705480140/300/bq/42051.png
251;Mot Malin;2 — 6;7+;10;https://www.myludo.fr/img/jeux/1753036381/300/bu/46289.png
252;Sobek 2 Joueurs;Duo;10+;20;https://www.myludo.fr/img/jeux/1690635758/300/bu/46597.png
253;The Sound Maker;3 — 6;7+;15;https://www.myludo.fr/img/jeux/1633040758/300/bz/51486.png
